date,fips,avg_temp,max_temp,min_temp,county,Month
2000-05-31,36001,55.97911391719695,66.95869396578881,66.95869396578881,Albany,5
2000-06-30,36001,62.998186365763345,73.71837577819824,73.71837577819824,Albany,6
2000-07-31,36001,64.44551123342207,74.80059322234123,74.80059322234123,Albany,7
2000-08-31,36001,64.9490827745007,75.3366937944966,75.3366937944966,Albany,8
2000-09-30,36001,57.45975634256999,68.75914815266927,68.75914815266927,Albany,9
2001-05-31,36001,57.597657111383256,70.42725766089654,70.42725766089654,Albany,5
2001-06-30,36001,65.1108455657959,76.46975809733073,76.46975809733073,Albany,6
2001-07-31,36001,66.0547608406313,78.17726848971459,78.17726848971459,Albany,7
2001-08-31,36001,70.6343492077243,82.98272286691973,82.98272286691973,Albany,8
2001-09-30,36001,60.35811030069987,72.3186461130778,72.3186461130778,Albany,9
2002-05-31,36001,51.7001953125,63.199161529541016,63.199161529541016,Albany,5
2002-06-30,36001,64.37149581909179,75.6427505493164,75.6427505493164,Albany,6
2002-07-31,36001,70.88550075407952,82.6925292476531,82.6925292476531,Albany,7
2002-08-31,36001,70.13302883025139,82.46733142483619,82.46733142483619,Albany,8
2002-09-30,36001,62.34252166748047,74.54895871480306,74.54895871480306,Albany,9
2003-05-31,36001,54.75245937224357,65.51197753414031,65.51197753414031,Albany,5
2003-06-30,36001,63.70135841369629,73.64703102111817,73.64703102111817,Albany,6
2003-07-31,36001,69.44622187460622,81.07376640073714,81.07376640073714,Albany,7
2003-08-31,36001,70.31831495223507,80.97249234107232,80.97249234107232,Albany,8
2003-09-30,36001,60.61549708048503,71.61845448811849,71.61845448811849,Albany,9
2004-05-31,36001,59.34099468108146,71.55690014746881,71.55690014746881,Albany,5
2004-06-30,36001,62.453517532348634,74.29157257080078,74.29157257080078,Albany,6
2004-07-31,36001,68.0743771214639,78.18519899922032,78.18519899922032,Albany,7
2004-08-31,36001,67.09630350912771,77.89119105185232,77.89119105185232,Albany,8
2004-09-30,36001,61.960354232788085,72.73525047302246,72.73525047302246,Albany,9
2005-05-31,36001,51.49154281616211,63.01894292523784,63.01894292523784,Albany,5
2005-06-30,36001,69.84018363952637,81.87504552205404,81.87504552205404,Albany,6
2005-07-31,36001,71.13590018979964,82.62806357106855,82.62806357106855,Albany,7
2005-08-31,36001,70.9222804654029,82.79148963189894,82.79148963189894,Albany,8
2005-09-30,36001,63.493475341796874,76.82532323201498,76.82532323201498,Albany,9
2006-05-31,36001,56.12923886699061,67.17619274508569,67.17619274508569,Albany,5
2006-06-30,36001,65.299556350708,74.78254801432291,74.78254801432291,Albany,6
2006-07-31,36001,71.95635580247448,82.60244972475114,82.60244972475114,Albany,7
2006-08-31,36001,67.74797107327369,78.86267016010899,78.86267016010899,Albany,8
2006-09-30,36001,58.874460728963214,68.93508237202963,68.93508237202963,Albany,9
2007-05-31,36001,57.270897403840095,71.3968257288779,71.3968257288779,Albany,5
2007-06-30,36001,66.12598597208658,78.40442301432292,78.40442301432292,Albany,6
2007-07-31,36001,67.74921995593655,79.00760872133317,79.00760872133317,Albany,7
2007-08-31,36001,68.47998157624275,80.2493192611202,80.2493192611202,Albany,8
2007-09-30,36001,61.52157160441081,74.07098032633463,74.07098032633463,Albany,9
2008-05-31,36001,52.52000033470892,65.52015882922757,65.52015882922757,Albany,5
2008-06-30,36001,67.29614995320638,78.71610412597656,78.71610412597656,Albany,6
2008-07-31,36001,70.67785472254599,81.84305326400265,81.84305326400265,Albany,7
2008-08-31,36001,65.79900298580047,77.01382421678112,77.01382421678112,Albany,8
2008-09-30,36001,61.20831667582194,72.45844383239746,72.45844383239746,Albany,9
2009-05-31,36001,55.942837868967366,68.54882320280998,68.54882320280998,Albany,5
2009-06-30,36001,63.88874969482422,73.70734380086263,73.70734380086263,Albany,6
2009-07-31,36001,66.73951450470955,77.40000989360195,77.40000989360195,Albany,7
2009-08-31,36001,69.3536618140436,79.89764871904927,79.89764871904927,Albany,8
2009-09-30,36001,58.53069877624512,70.28783124287924,70.28783124287924,Albany,9
2010-05-31,36001,59.30091045748803,71.72986590477728,71.72986590477728,Albany,5
2010-06-30,36001,66.07995541890462,76.31034329732259,76.31034329732259,Albany,6
2010-07-31,36001,72.97569237985918,83.86365533644154,83.86365533644154,Albany,7
2010-08-31,36001,68.85841812626008,79.47174564484627,79.47174564484627,Albany,8
2010-09-30,36001,62.32018572489421,72.77934913635254,72.77934913635254,Albany,9
2011-05-31,36001,59.14159897835024,69.22301766180223,69.22301766180223,Albany,5
2011-06-30,36001,65.56700426737467,75.51326802571614,75.51326802571614,Albany,6
2011-07-31,36001,71.44448520291236,82.64771541472405,82.64771541472405,Albany,7
2011-08-31,36001,67.9178834730579,78.2699700632403,78.2699700632403,Albany,8
2011-09-30,36001,62.87209548950195,71.76258735656738,71.76258735656738,Albany,9
2012-05-31,36001,60.68851778584142,71.66065708283455,71.66065708283455,Albany,5
2012-06-30,36001,65.3195198059082,75.6765350341797,75.6765350341797,Albany,6
2012-07-31,36001,72.76594863399383,84.3350111438382,84.3350111438382,Albany,7
2012-08-31,36001,69.3370873235887,80.69581333283455,80.69581333283455,Albany,8
2012-09-30,36001,60.690786107381186,72.17132326761882,72.17132326761882,Albany,9
2013-05-31,36001,57.386181985178304,69.9277860579952,69.9277860579952,Albany,5
2013-06-30,36001,65.32856559753418,75.71926256815593,75.71926256815593,Albany,6
2013-07-31,36001,73.01213529033046,82.7525381272839,82.7525381272839,Albany,7
2013-08-31,36001,66.38137805077338,77.49777147846837,77.49777147846837,Albany,8
