date,fips,ave_precip,county
2004-04-28,36001,0.08241559964205537,Albany
2004-05-05,36001,0.04382578922169549,Albany
2004-05-12,36001,0.05716204089445195,Albany
2004-05-19,36001,0.23080919975680964,Albany
2004-05-26,36001,0.2496820996914591,Albany
2004-06-02,36001,0.07772883400321007,Albany
2004-06-09,36001,0.0634468631368301,Albany
2004-06-16,36001,0.031926619924239015,Albany
2004-06-23,36001,0.10141807659030226,Albany
2004-06-30,36001,0.07658863865903445,Albany
2004-07-07,36001,0.034357470593282154,Albany
2004-07-14,36001,0.3464255015964487,Albany
2004-07-21,36001,0.10810291454462069,Albany
2004-07-28,36001,0.3578025930161987,Albany
2004-08-04,36001,0.052404151672297825,Albany
2004-08-11,36001,0.5222711562777737,Albany
2004-08-18,36001,0.20434708361114776,Albany
2004-08-25,36001,0.10060198209248483,Albany
2004-09-01,36001,8.639858320488461e-05,Albany
2004-09-08,36001,0.23674749290304525,Albany
2004-09-15,36001,0.5401992601275977,Albany
2004-09-22,36001,0.06029668689838478,Albany
2004-09-29,36001,0.1728345601087702,Albany
2004-10-06,36001,9.769898939079471e-05,Albany
2004-10-13,36001,0.1575204370809453,Albany
2004-10-20,36001,0.08765906946999687,Albany
2004-10-27,36001,0.007097815429525716,Albany
2004-11-03,36001,0.09269648693901088,Albany
2004-11-10,36001,0.0038074968116624014,Albany
2004-11-17,36001,0.035050119805548875,Albany
2004-11-24,36001,0.2589389595336148,Albany
2004-12-01,36001,0.0732116000726819,Albany
2004-12-08,36001,0.2426725312668298,Albany
2004-12-15,36001,0.012148621891226088,Albany
2004-12-22,36001,0.2025617180126054,Albany
2004-12-29,36001,0.061870113015174866,Albany
2005-01-05,36001,0.19058001626815116,Albany
2005-01-12,36001,0.23657983375181044,Albany
2005-01-19,36001,0.09441286059362548,Albany
2005-01-26,36001,0.037692716611283164,Albany
2005-02-02,36001,0.00022598971762428327,Albany
2005-02-09,36001,0.1159407269442454,Albany
2005-02-16,36001,0.11282634375883001,Albany
2005-02-23,36001,0.09943073096552066,Albany
2005-03-02,36001,0.06416393680098866,Albany
2005-03-09,36001,0.05773558164946735,Albany
2005-03-16,36001,0.025161827448755503,Albany
2005-03-23,36001,0.4269461844648634,Albany
2005-03-30,36001,0.3274390802502499,Albany
2005-04-06,36001,0.010074622929096222,Albany
2005-04-13,36001,0.0,Albany
2005-04-20,36001,0.18120192190898315,Albany
2005-04-27,36001,0.11073923403663295,Albany
2005-05-04,36001,0.004134535849776252,Albany
2005-05-11,36001,0.05169898956747992,Albany
2005-05-18,36001,0.08872171624430589,Albany
2005-05-25,36001,0.12201301071659795,Albany
2005-06-01,36001,0.05970317727353956,Albany
2005-06-08,36001,0.065445836899536,Albany
2005-06-15,36001,0.16135888995735773,Albany
2005-06-22,36001,0.02054817176290921,Albany
2005-06-29,36001,0.28016954234668184,Albany
2005-07-06,36001,0.24534576798656157,Albany
2005-07-13,36001,0.15171716615857025,Albany
2005-07-20,36001,0.04628192560215082,Albany
2005-07-27,36001,0.08381216467491218,Albany
2005-08-03,36001,0.002320915780728683,Albany
2005-08-10,36001,0.06708903422778738,Albany
2005-08-17,36001,0.08310278365388513,Albany
2005-08-24,36001,0.10448569371926299,Albany
2005-08-31,36001,0.10431787890515157,Albany
2005-09-07,36001,0.0002655115843351398,Albany
2005-09-14,36001,0.09102950546158743,Albany
2005-09-21,36001,0.08050601237586566,Albany
2005-09-28,36001,0.026424924177782878,Albany
2005-10-05,36001,0.5693433862179518,Albany
2005-10-12,36001,0.3494503093617303,Albany
2005-10-19,36001,0.4639188183937222,Albany
2005-10-26,36001,0.16637155238380988,Albany
2005-11-02,36001,0.05315040945528641,Albany
2005-11-09,36001,0.09789551832467883,Albany
2005-11-16,36001,0.255837691274272,Albany
2005-11-23,36001,0.09847496809171778,Albany
2005-11-30,36001,0.2633184424568234,Albany
2005-12-07,36001,0.060992768832615445,Albany
2005-12-14,36001,0.09527545049630655,Albany
2005-12-21,36001,0.10125472955405712,Albany
2005-12-28,36001,0.23355430790356227,Albany
2006-01-04,36001,0.06117598855884613,Albany
2006-01-11,36001,0.1133503620762245,Albany
2006-01-18,36001,0.30124537207718405,Albany
2006-01-25,36001,0.07651302318221756,Albany
2006-02-01,36001,0.16201593886528695,Albany
2006-02-08,36001,0.029681617087460057,Albany
2006-02-15,36001,0.01229501302753176,Albany
2006-02-22,36001,0.017473994686692355,Albany
2006-03-01,36001,0.0075816190136330465,Albany
2006-03-08,36001,0.12012770314634379,Albany
2006-03-15,36001,0.0547406884974667,Albany
2006-03-22,36001,0.011719058267772198,Albany
2006-03-29,36001,0.16544885773743903,Albany
2006-04-05,36001,0.038967404248459,Albany
2006-04-12,36001,0.03850150515791029,Albany
2006-04-19,36001,0.376633600464889,Albany
2006-04-26,36001,0.0006233578148697104,Albany
2006-05-03,36001,0.005563059632549994,Albany
2006-05-10,36001,0.4126164359705789,Albany
2006-05-17,36001,0.11006885900029115,Albany
2006-05-24,36001,0.0661525335162878,Albany
2006-05-31,36001,0.4176149453435625,Albany
2006-06-07,36001,0.22874460662049906,Albany
2006-06-14,36001,0.0810754828687225,Albany
2006-06-21,36001,0.42042336659505963,Albany
2006-06-28,36001,0.2281613815575838,Albany
2006-07-05,36001,0.070525803736278,Albany
2006-07-12,36001,0.07738307384507996,Albany
2006-07-19,36001,0.17563774454382447,Albany
2006-07-26,36001,0.09869121440819331,Albany
2006-08-02,36001,0.10918255948594638,Albany
2006-08-09,36001,0.02515530027449131,Albany
2006-08-16,36001,0.19667256490460464,Albany
2006-08-23,36001,0.13640851618090113,Albany
2006-08-30,36001,0.20762744918465614,Albany
2006-09-06,36001,0.025005825903333192,Albany
2006-09-13,36001,0.1701742311540459,Albany
2006-09-20,36001,0.0699382459611765,Albany
2006-09-27,36001,0.292599367243903,Albany
2006-10-04,36001,0.024023241230419705,Albany
2006-10-11,36001,0.07388826033898763,Albany
2006-10-18,36001,0.26273577539229465,Albany
2006-10-25,36001,0.21985071801048303,Albany
2006-11-01,36001,0.06292047116273482,Albany
2006-11-08,36001,0.24665852483927406,Albany
2006-11-15,36001,0.11675260896715502,Albany
2006-11-22,36001,0.03437393839392046,Albany
2006-11-29,36001,0.08758152886210675,Albany
2006-12-06,36001,0.0019640117679955438,Albany
2006-12-13,36001,0.01250733542942076,Albany
2006-12-20,36001,0.17093072038343443,Albany
2006-12-27,36001,0.040685728075914085,Albany
2007-01-03,36001,0.12059589588482465,Albany
2007-01-10,36001,0.15273203094589657,Albany
2007-01-17,36001,0.024926808662712574,Albany
2007-01-24,36001,0.010841686079012496,Albany
2007-01-31,36001,0.02807065561812903,Albany
2007-02-07,36001,0.0039359191016826245,Albany
2007-02-14,36001,0.3571534219275539,Albany
2007-02-21,36001,0.07018950661378247,Albany
2007-02-28,36001,0.10447381110861897,Albany
2007-03-07,36001,0.013873904004867654,Albany
2007-03-14,36001,0.2735354480267103,Albany
2007-03-21,36001,0.12971749685571662,Albany
2007-03-28,36001,0.021700071807052673,Albany
2007-04-04,36001,0.1291663852669964,Albany
2007-04-11,36001,0.7359755277367575,Albany
2007-04-18,36001,0.023612878884055784,Albany
2007-04-25,36001,0.07968035606401307,Albany
2007-05-02,36001,0.016841649398494547,Albany
2007-05-09,36001,0.16800897761381098,Albany
2007-05-16,36001,0.17301642111436064,Albany
2007-05-23,36001,0.08627284251685653,Albany
2007-05-30,36001,0.24919832112001522,Albany
2007-06-06,36001,0.0319693525920489,Albany
2007-06-13,36001,0.0062104861417537904,Albany
2007-06-20,36001,0.13904922921210527,Albany
2007-06-27,36001,0.07517568962482203,Albany
2007-07-04,36001,0.2044963908514806,Albany
2007-07-11,36001,0.11762580974027514,Albany
2007-07-18,36001,0.2840246558189392,Albany
2007-07-25,36001,0.08477591914249517,Albany
2007-08-01,36001,0.017444456794432232,Albany
2007-08-08,36001,0.18842617130680342,Albany
2007-08-15,36001,0.0242972123835768,Albany
2007-08-22,36001,0.027425621727681055,Albany
2007-08-29,36001,0.04896615658487592,Albany
2007-09-05,36001,0.19586783647537231,Albany
2007-09-12,36001,0.179088010851826,Albany
2007-09-19,36001,0.023457067353384837,Albany
2007-09-26,36001,0.060939849487372806,Albany
2007-10-03,36001,0.0785643117768424,Albany
2007-10-10,36001,0.16949381153556584,Albany
2007-10-17,36001,0.13625722218837058,Albany
2007-10-24,36001,0.327330975660256,Albany
2007-10-31,36001,0.03491894634706633,Albany
2007-11-07,36001,0.03407280200294086,Albany
2007-11-14,36001,0.20836542985801185,Albany
2007-11-21,36001,0.14069679006934166,Albany
2007-11-28,36001,0.0925481257561062,Albany
2007-12-05,36001,0.022876193823841668,Albany
2007-12-12,36001,0.30913502441087204,Albany
2007-12-19,36001,0.08618772917959307,Albany
2007-12-26,36001,0.14435844482587917,Albany
2008-01-02,36001,0.03095780229861183,Albany
2008-01-09,36001,0.09969822157706533,Albany
2008-01-16,36001,0.03582768263627908,Albany
2008-01-23,36001,0.013113920909485646,Albany
2008-01-30,36001,0.18587186333856412,Albany
2008-02-06,36001,0.2574725645993437,Albany
2008-02-13,36001,0.19472300560612762,Albany
2008-02-20,36001,0.04180752060243061,Albany
2008-02-27,36001,0.12475833190338952,Albany
2008-03-05,36001,0.5651184969215787,Albany
2008-03-12,36001,0.056394864863250405,Albany
2008-03-19,36001,0.13609080335923604,Albany
2008-03-26,36001,0.1439133094889777,Albany
2008-04-02,36001,0.125857732125691,Albany
2008-04-09,36001,0.035064183441655974,Albany
2008-04-16,36001,0.0,Albany
2008-04-23,36001,0.1701478106931193,Albany
2008-04-30,36001,0.0949460765612977,Albany
2008-05-07,36001,0.0026573025887565954,Albany
2008-05-14,36001,0.05773377439072647,Albany
2008-05-21,36001,0.028178032687199966,Albany
2008-05-28,36001,0.049040025765342374,Albany
2008-06-04,36001,0.30809982115494805,Albany
2008-06-11,36001,0.20014315737145288,Albany
2008-06-18,36001,0.12568281245018756,Albany
2008-06-25,36001,0.061246790116586326,Albany
2008-07-02,36001,0.04685770959726402,Albany
2008-07-09,36001,0.18165930759693896,Albany
2008-07-16,36001,0.12840282012309348,Albany
2008-07-23,36001,0.7065870956118617,Albany
2008-07-30,36001,0.10284914235983576,Albany
2008-08-06,36001,0.20522801205515862,Albany
2008-08-13,36001,0.062060522713831494,Albany
2008-08-20,36001,0.0029907739954069257,Albany
2008-08-27,36001,0.004348227804127548,Albany
2008-09-03,36001,0.22554023263260856,Albany
2008-09-10,36001,0.1613048339661743,Albany
2008-09-17,36001,0.0002516215567344001,Albany
2008-09-24,36001,0.20714988080518587,Albany
2008-10-01,36001,0.09051762667617627,Albany
2008-10-08,36001,0.029989010521343777,Albany
2008-10-15,36001,0.04797431028314999,Albany
2008-10-22,36001,0.38607901165128816,Albany
2008-10-29,36001,0.25090597554371924,Albany
2008-11-05,36001,0.030969825656419352,Albany
2008-11-12,36001,0.08511195337996469,Albany
2008-11-19,36001,0.07172897668871363,Albany
2008-11-26,36001,0.13631514504751457,Albany
2008-12-03,36001,0.01904273751590933,Albany
2008-12-10,36001,0.3211386874318123,Albany
2008-12-17,36001,0.2438286356627941,Albany
2008-12-24,36001,0.08762579570923533,Albany
2008-12-31,36001,0.05330582947603294,Albany
2009-01-07,36001,0.15172219861830985,Albany
2009-01-14,36001,0.025128533320509763,Albany
2009-01-21,36001,0.0008872234029695392,Albany
2009-01-28,36001,0.1405401240502085,Albany
